Details,Posting Date,Description,Amount,Type,Balance,Check or Slip #
CREDIT,01/02/2024,"Zelle payment from ROSIO C FERNANDEZ VELA 19463426959",200.00,QUICKPAY_CREDIT,1585.01,,
CREDIT,01/02/2024,"Zelle payment from YISLEIDIS HERNANDEZ BACmvm8iobrs",300.00,PARTNERFI_TO_CHASE,1385.01,,
CREDIT,01/02/2024,"Zelle payment from ALIUSKA VELA 19452977078",800.00,QUICKPAY_CREDIT,1085.01,,
DEBIT,12/28/2023,"ADVS ED SERV PPD STUDNTLOAN                 PPD ID: 9102001101",-225.50,ACH_DEBIT,285.01,,
DEBIT,12/28/2023,"APPLE CASH SENT MONE 1INFINITELOOP CA        12/27",-100.00,DEBIT_CARD,510.51,,
DEBIT,12/26/2023,"PAYPAL           INST XFER                  WEB ID: PAYPALSI77",-100.00,ACH_DEBIT,610.51,,
DEBIT,12/26/2023,"Zelle payment to Jose Hernandez JPM99a7007x4",-800.00,CHASE_TO_PARTNERFI,710.51,,
DEBIT,12/26/2023,"Payment to Chase card ending in 3492 12/26",-82.36,LOAN_PMT,1510.51,,
CREDIT,12/26/2023,"Online Transfer from SAV ...7765 transaction#: 19389770134",400.00,ACCT_XFER,1592.87,,
DEBIT,12/22/2023,"Online Transfer to CHK ...8871 transaction#: 19365641450 12/22",-100.00,ACCT_XFER,1192.87,,
DEBIT,12/22/2023,"Online Transfer to SAV ...7765 transaction#: 19365647442 12/22",-500.00,ACCT_XFER,1292.87,,
DEBIT,12/22/2023,"Payment to Chase card ending in 3492 12/22",-1183.05,LOAN_PMT,1792.87,,
DEBIT,12/22/2023,"UWM APPRAISAL DIRECT HTTPSWWW.UWM. FL        12/21",-200.00,DEBIT_CARD,2975.92,,
DEBIT,12/22/2023,"PAYPAL *GITHUB INC 415-279-8675 CA           12/21",-10.00,DEBIT_CARD,3175.92,,
CREDIT,12/22/2023,"Zelle payment from ROSIO C FERNANDEZ VELA 19367017730",400.00,QUICKPAY_CREDIT,3185.92,,
CREDIT,12/22/2023,"ABARCA HEALTH FL PAYROLL                    PPD ID: 6506940773",2037.45,ACH_CREDIT,2785.92,,
DEBIT,12/18/2023,"Zelle payment to Roofing JPM99a6p681o",-2000.00,CHASE_TO_PARTNERFI,748.47,,
CREDIT,12/18/2023,"Zelle payment from ARMANDO RIZO BACz7ps1e2wp",50.00,PARTNERFI_TO_CHASE,2748.47,,
CREDIT,12/18/2023,"Zelle payment from ALIUSKA VELA 19328882868",2000.00,QUICKPAY_CREDIT,2698.47,,
DEBIT,12/11/2023,"DETA PICKLEBALL CLUB WWW.DAVIDENSI FL        12/11",-15.45,DEBIT_CARD,698.47,,
DEBIT,12/11/2023,"Zelle payment to Manny Panties 19254105873",-17.00,QUICKPAY_DEBIT,713.92,,
DEBIT,12/11/2023,"Zelle payment to Kiki 19246892312",-100.00,QUICKPAY_DEBIT,730.92,,
CREDIT,12/11/2023,"Zelle payment from ALIUSKA VELA 18966612481",50.00,QUICKPAY_CREDIT,830.92,,
DEBIT,12/08/2023,"Payment to Chase card ending in 3492 12/08",-1000.00,LOAN_PMT,780.92,,
DEBIT,12/08/2023,"Zelle payment to Mama  19233110877",-600.00,QUICKPAY_DEBIT,1780.92,,
CREDIT,12/08/2023,"ABARCA HEALTH FL PAYROLL                    PPD ID: 6506940773",2037.45,ACH_CREDIT,2380.92,,
DEBIT,12/05/2023,"APPLE.COM/BILL 866-712-7753 CA               12/04",-9.99,DEBIT_CARD,343.47,,
DEBIT,12/04/2023,"Payment to Chase card ending in 3492 12/04",-300.00,LOAN_PMT,353.46,,
DEBIT,12/04/2023,"Amazon web services aws.amazon.co WA         12/03",-29.77,DEBIT_CARD,653.46,,
DEBIT,12/04/2023,"ATT*BILL PAYMENT 800-288-2020 TX             12/02",-285.59,DEBIT_CARD,683.23,,
DEBIT,12/04/2023,"ATT*BILL PAYMENT 800-288-2020 TX             12/01",-95.70,DEBIT_CARD,968.82,,
CREDIT,12/04/2023,"Zelle payment from ROSIO C FERNANDEZ VELA 18901054624",60.00,QUICKPAY_CREDIT,1064.52,,
DEBIT,11/30/2023,"Zelle payment to Kiki 19152692708",-70.00,QUICKPAY_DEBIT,1004.52,,
CREDIT,11/30/2023,"Zelle payment from ROSIO C FERNANDEZ VELA 19147286333",250.00,QUICKPAY_CREDIT,1074.52,,
CREDIT,11/27/2023,"Zelle payment from ROSIO C FERNANDEZ VELA 19111992144",60.00,QUICKPAY_CREDIT,824.52,,
DEBIT,11/24/2023,"PAYPAL           INST XFER                  WEB ID: PAYPALSI77",-300.00,ACH_DEBIT,764.52,,
DEBIT,11/24/2023,"Online Transfer to SAV ...7765 transaction#: 19088021020 11/24",-600.00,ACCT_XFER,1064.52,,
DEBIT,11/24/2023,"Payment to Chase card ending in 3492 11/24",-596.24,LOAN_PMT,1664.52,,
CREDIT,11/24/2023,"ABARCA HEALTH FL PAYROLL                    PPD ID: 6506940773",2037.45,ACH_CREDIT,2260.76,,
DEBIT,11/22/2023,"DETA PICKLEBALL CLUB WWW.DAVIDENSI FL        11/22",-15.45,DEBIT_CARD,223.31,,
DEBIT,11/22/2023,"PAYPAL *GITHUB INC 415-279-8675 CA           11/21",-4.23,DEBIT_CARD,238.76,,
DEBIT,11/21/2023,"XACTUS clover.com PA                         11/21",-60.90,DEBIT_CARD,242.99,,
DEBIT,11/21/2023,"XACTUS clover.com PA                         11/21",-60.90,DEBIT_CARD,303.89,,
DEBIT,11/21/2023,"XACTUS clover.com PA                         11/21",-60.90,DEBIT_CARD,364.79,,
DEBIT,11/20/2023,"Zelle payment to Manny Panties 19044808296",-12.00,QUICKPAY_DEBIT,425.69,,
CREDIT,11/20/2023,"Zelle payment from ALIUSKA VELA 19062450446",60.00,QUICKPAY_CREDIT,437.69,,
DEBIT,11/13/2023,"Online Transfer to SAV ...7765 transaction#: 18986435066 11/13",-1000.00,ACCT_XFER,377.69,,
DEBIT,11/13/2023,"COINBASE, INC. 8325639309 CA                 11/11",-500.00,DEBIT_CARD,1377.69,,
DEBIT,11/10/2023,"Payment to Chase card ending in 3492 11/10",-270.69,LOAN_PMT,1877.69,,
CREDIT,11/10/2023,"Zelle payment from ALIUSKA VELA 18679504700",50.00,QUICKPAY_CREDIT,2148.38,,
CREDIT,11/09/2023,"ABARCA HEALTH FL PAYROLL                    PPD ID: 6506940773",2037.45,ACH_CREDIT,2098.38,,
DEBIT,11/06/2023,"Zelle payment to Manny Panties 18916891519",-10.00,QUICKPAY_DEBIT,60.93,,
DEBIT,11/03/2023,"Amazon web services aws.amazon.co WA         11/03",-30.59,DEBIT_CARD,70.93,,
DEBIT,11/03/2023,"ATT*BILL PAYMENT 800-288-2020 TX             11/02",-284.21,DEBIT_CARD,101.52,,
CREDIT,11/03/2023,"Zelle payment from ROSIO C FERNANDEZ VELA 18615428709",60.00,QUICKPAY_CREDIT,385.73,,
DEBIT,11/02/2023,"ADVS ED SERV WEB STUDNTLOAN 6PH6U9NK3O1     WEB ID: 9102001102",-451.00,ACH_DEBIT,325.73,,
DEBIT,11/02/2023,"APPLE.COM/BILL 866-712-7753 CA               11/01",-9.99,DEBIT_CARD,776.73,,
DEBIT,11/01/2023,"Payment to Chase card ending in 3492 11/01",-536.91,LOAN_PMT,786.72,,
DEBIT,11/01/2023,"Zelle payment to Mama  18881656531",-600.00,QUICKPAY_DEBIT,1323.63,,
DEBIT,11/01/2023,"ATT*BILL PAYMENT 800-288-2020 TX             10/31",-95.70,DEBIT_CARD,1923.63,,
DEBIT,10/30/2023,"Payment to Chase card ending in 3492 10/30",-81.29,LOAN_PMT,2019.33,,
DEBIT,10/30/2023,"Zelle payment to Manny Panties 18847581652",-15.00,QUICKPAY_DEBIT,2100.62,,
CREDIT,10/30/2023,"REAL TIME TRANSFER RECD FROM ABA/021000021 FROM: COINBASE REF: ES4ZEQG4 INFO:  IID: 20231028021000021P1BRJPM00020057028 RECD: 20:06:39 TRN: 0511050301RV",415.46,MISC_CREDIT,2115.62,,
DEBIT,10/27/2023,"Payment to Chase card ending in 3492 10/27",-385.82,LOAN_PMT,1700.16,,
CREDIT,10/27/2023,"ABARCA HEALTH FL PAYROLL                    PPD ID: 6506940773",2037.45,ACH_CREDIT,2085.98,,
DEBIT,10/26/2023,"PAYPAL           INST XFER                  WEB ID: PAYPALSI77",-100.00,ACH_DEBIT,48.53,,
DEBIT,10/23/2023,"Zelle payment to Manny Panties 18798649029",-200.00,QUICKPAY_DEBIT,148.53,,
DEBIT,10/23/2023,"Zelle payment to Botox JPM99a3vz6hy",-500.00,CHASE_TO_PARTNERFI,348.53,,
DEBIT,10/23/2023,"PAYPAL *GITHUB INC 415-279-8675 CA           10/21",-10.00,DEBIT_CARD,848.53,,
CREDIT,10/23/2023,"Zelle payment from LIARA GONZALEZ 18798672111",250.00,QUICKPAY_CREDIT,858.53,,
DEBIT,10/19/2023,"Payment to Chase card ending in 3492 10/19",-242.09,LOAN_PMT,608.53,,
DEBIT,10/13/2023,"Zelle payment to Elia JPM99a3huui8",-90.00,CHASE_TO_PARTNERFI,850.62,,
DEBIT,10/13/2023,"Zelle payment to Kiki 18711862792",-500.00,QUICKPAY_DEBIT,940.62,,
DEBIT,10/13/2023,"Payment to Chase card ending in 3492 10/13",-1210.16,LOAN_PMT,1440.62,,
CREDIT,10/13/2023,"ABARCA HEALTH FL PAYROLL                    PPD ID: 6506940773",2037.45,ACH_CREDIT,2650.78,,
DEBIT,10/10/2023,"Zelle payment to Armando JPM99a37qrdf",-10.00,CHASE_TO_PARTNERFI,613.33,,
CREDIT,10/10/2023,"Zelle payment from ALIUSKA VELA 18406600329",50.00,QUICKPAY_CREDIT,623.33,,
DEBIT,10/03/2023,"Amazon web services aws.amazon.co WA         10/03",-29.77,DEBIT_CARD,573.33,,
DEBIT,10/03/2023,"ATT*BILL PAYMENT 800-288-2020 TX             10/02",-352.48,DEBIT_CARD,603.10,,
CREDIT,10/03/2023,"Zelle payment from ROSIO C FERNANDEZ VELA 18344304790",60.00,QUICKPAY_CREDIT,955.58,,
DEBIT,10/02/2023,"Zelle payment to Manny Panties 18601334496",-50.00,QUICKPAY_DEBIT,895.58,,
DEBIT,10/02/2023,"Zelle payment to Armando JPM99a2xs01x",-145.00,CHASE_TO_PARTNERFI,945.58,,
DEBIT,10/02/2023,"APPLE.COM/BILL 866-712-7753 CA               10/01",-9.99,DEBIT_CARD,1090.58,,
DEBIT,10/02/2023,"Payment to Chase card ending in 3492 10/02",-1000.00,LOAN_PMT,1100.57,,
DEBIT,10/02/2023,"Zelle payment to Mama  18590928799",-1000.00,QUICKPAY_DEBIT,2100.57,,
DEBIT,10/02/2023,"ATT*BILL PAYMENT 800-288-2020 TX             09/30",-95.70,DEBIT_CARD,3100.57,,
DEBIT,10/02/2023,"Zelle payment to Armando JPM99a2u39zh",-20.00,CHASE_TO_PARTNERFI,3196.27,,
CREDIT,10/02/2023,"Zelle payment from LIARA GONZALEZ 18606923065",300.00,QUICKPAY_CREDIT,3216.27,,
CREDIT,10/02/2023,"REAL TIME TRANSFER RECD FROM ABA/021000021 FROM: COINBASE REF: 862FN7ET INFO:  IID: 20231002021000021P1BRJPM00510018379 RECD: 09:40:20 TRN: 0122091275RW",294.35,MISC_CREDIT,2916.27,,
CREDIT,09/29/2023,"ABARCA HEALTH FL PAYROLL                    PPD ID: 6506940773",2080.39,ACH_CREDIT,2621.92,,
DEBIT,09/28/2023,"PAYPAL           INST XFER  PARKMOBILE      WEB ID: PAYPALSI77",-2.50,ACH_DEBIT,541.53,,
DEBIT,09/26/2023,"PAYPAL           INST XFER                  WEB ID: PAYPALSI77",-100.00,ACH_DEBIT,544.03,,
DEBIT,09/25/2023,"Zelle payment to Armando JPM99a2l80gf",-15.00,CHASE_TO_PARTNERFI,644.03,,
DEBIT,09/25/2023,"Zelle payment to Manny Panties 18527226891",-24.00,QUICKPAY_DEBIT,659.03,,
CREDIT,09/25/2023,"Zelle payment from LIARA GONZALEZ 18534221871",370.00,QUICKPAY_CREDIT,683.03,,
DEBIT,09/22/2023,"PAYPAL *GITHUB INC 415-279-8675 CA           09/22",-10.00,DEBIT_CARD,313.03,,
DEBIT,09/21/2023,"Payment to Chase card ending in 3492 09/21",-270.00,LOAN_PMT,323.03,,
CREDIT,09/21/2023,"Zelle payment from LAZARO OSORIA WFCT0RKZPD2T",10.00,PARTNERFI_TO_CHASE,593.03,,
CREDIT,09/21/2023,"Zelle payment from LAZARO OSORIA WFCT0RKZWTNF",260.00,PARTNERFI_TO_CHASE,583.03,,
DEBIT,09/18/2023,"Payment to Chase card ending in 3492 09/18",-1000.00,LOAN_PMT,323.03,,
DEBIT,09/15/2023,"Online Transfer to CHK ...8871 transaction#: 18456571718 09/15",-300.00,ACCT_XFER,1323.03,,
DEBIT,09/15/2023,"Payment to Chase card ending in 3492 09/15",-1500.00,LOAN_PMT,1623.03,,
CREDIT,09/15/2023,"Zelle payment from ROSIO C FERNANDEZ VELA 18456560695",370.00,QUICKPAY_CREDIT,3123.03,,
CREDIT,09/15/2023,"ABARCA HEALTH FL PAYROLL                    PPD ID: 6506940773",2037.44,ACH_CREDIT,2753.03,,
CREDIT,09/14/2023,"Zelle payment from ALIUSKA VELA 18444960725",380.00,QUICKPAY_CREDIT,715.59,,
CREDIT,09/11/2023,"Zelle payment from ALIUSKA VELA 18125373163",50.00,QUICKPAY_CREDIT,335.59,,
DEBIT,09/05/2023,"ATT*BILL PAYMENT 800-288-2020 TX             09/03",-362.95,DEBIT_CARD,285.59,,
DEBIT,09/05/2023,"Amazon web services aws.amazon.co WA         09/02",-30.59,DEBIT_CARD,648.54,,
DEBIT,09/05/2023,"ATT*BILL PAYMENT 800-288-2020 TX             09/01",-95.70,DEBIT_CARD,679.13,,
DEBIT,09/05/2023,"APPLE.COM/BILL 866-712-7753 CA               09/01",-9.99,DEBIT_CARD,774.83,,
CREDIT,09/05/2023,"Zelle payment from ROSIO C FERNANDEZ VELA 18062518948",60.00,QUICKPAY_CREDIT,784.82,,
DEBIT,09/01/2023,"Payment to Chase card ending in 3492 09/01",-500.00,LOAN_PMT,724.82,,
DEBIT,09/01/2023,"Zelle payment to Kiki 18328265091",-70.00,QUICKPAY_DEBIT,1224.82,,
DEBIT,09/01/2023,"Zelle payment to Mama  18328237785",-1000.00,QUICKPAY_DEBIT,1294.82,,
CREDIT,09/01/2023,"ABARCA HEALTH FL PAYROLL                    PPD ID: 6506940773",2037.46,ACH_CREDIT,2294.82,,
DEBIT,08/29/2023,"Amazon Digit*T39YD50A 888-802-3080 WA        08/29",-15.99,DEBIT_CARD,257.36,,
DEBIT,08/28/2023,"PAYPAL           INST XFER                  WEB ID: PAYPALSI77",-100.00,ACH_DEBIT,273.35,,
DEBIT,08/22/2023,"Online Transfer to CHK ...8871 transaction#: 18237634351 08/22",-200.00,ACCT_XFER,373.35,,
DEBIT,08/22/2023,"PAYPAL *GITHUB INC 415-279-8675 CA           08/21",-10.00,DEBIT_CARD,573.35,,
DEBIT,08/21/2023,"Online Transfer to CHK ...8871 transaction#: 18219807488 08/21",-350.00,ACCT_XFER,583.35,,
DEBIT,08/21/2023,"Zelle payment to Kiki 18219793552",-200.00,QUICKPAY_DEBIT,933.35,,
DEBIT,08/18/2023,"Payment to Chase card ending in 3492 08/18",-1500.00,LOAN_PMT,1133.35,,
CREDIT,08/18/2023,"ABARCA HEALTH FL PAYROLL                    PPD ID: 6506940773",2037.45,ACH_CREDIT,2633.35,,
DEBIT,08/16/2023,"FOREIGN EXCHANGE RATE ADJUSTMENT FEE         08/15HANOI HOU",-0.13,FEE_TRANSACTION,595.90,,
DEBIT,08/16/2023,"APPLE.COM/BILL 866-712-7753 CA               08/15",-11.00,DEBIT_CARD,596.03,,
DEBIT,08/16/2023,"HANOI HOUSE ALCALA DE HEN                    08/15 Euro       4.00 X 1.095000 (EXCHG RTE)",-4.38,DEBIT_CARD,607.03,,
CREDIT,08/10/2023,"Zelle payment from ALIUSKA VELA 17847767157",50.00,QUICKPAY_CREDIT,611.41,,
DEBIT,08/08/2023,"Zelle payment to Kiki 18113165281",-70.00,QUICKPAY_DEBIT,561.41,,
DEBIT,08/04/2023,"Zelle payment to Mama  18073469199",-1500.00,QUICKPAY_DEBIT,631.41,,
CREDIT,08/04/2023,"ABARCA HEALTH FL PAYROLL                    PPD ID: 6506940773",2037.44,ACH_CREDIT,2131.41,,
DEBIT,08/03/2023,"Amazon web services aws.amazon.co WA         08/02",-30.59,DEBIT_CARD,93.97,,
DEBIT,08/03/2023,"ATT*BILL PAYMENT 800-288-2020 TX             08/02",-240.81,DEBIT_CARD,124.56,,
CREDIT,08/03/2023,"Zelle payment from ROSIO C FERNANDEZ VELA 17786467722",60.00,QUICKPAY_CREDIT,365.37,,
DEBIT,08/02/2023,"APPLE.COM/BILL 866-712-7753 CA               08/01",-9.99,DEBIT_CARD,305.37,,
CREDIT,08/02/2023,"Online Transfer from SAV ...7765 transaction#: 18055383487",200.00,ACCT_XFER,315.36,,
DEBIT,08/01/2023,"ATT*BILL PAYMENT 800-288-2020 TX             07/31",-90.70,DEBIT_CARD,115.36,,
CREDIT,08/01/2023,"Online Transfer from SAV ...7765 transaction#: 18044938901",200.00,ACCT_XFER,206.06,,
DEBIT,07/31/2023,"Online Transfer to CHK ...8871 transaction#: 18026866597 07/31",-100.00,ACCT_XFER,6.06,,
CREDIT,07/31/2023,"Zelle payment from LIARA GONZALEZ 18026197682",100.00,QUICKPAY_CREDIT,106.06,,
DEBIT,07/26/2023,"PAYPAL           INST XFER                  WEB ID: PAYPALSI77",-100.00,ACH_DEBIT,6.06,,
DEBIT,07/24/2023,"PAYPAL *GITHUB INC 415-279-8675 CA           07/21",-10.00,DEBIT_CARD,106.06,,
DEBIT,07/21/2023,"Zelle payment to Mama  17951771359",-500.00,QUICKPAY_DEBIT,116.06,,
DEBIT,07/21/2023,"Payment to Chase card ending in 3492 07/21",-1444.89,LOAN_PMT,616.06,,
CREDIT,07/21/2023,"ABARCA HEALTH FL PAYROLL                    PPD ID: 6506940773",2037.46,ACH_CREDIT,2060.95,,
DEBIT,07/20/2023,"PATRICK NJOGU    IAT PAYPAL 1028306217242   WEB ID: 770510487C",-84.00,ACH_DEBIT,23.49,,
CREDIT,07/20/2023,"Zelle payment from LIARA GONZALEZ 17938931080",80.00,QUICKPAY_CREDIT,107.49,,
DEBIT,07/17/2023,"Zelle payment to Manny Panties 17902726720",-55.00,QUICKPAY_DEBIT,27.49,,
DEBIT,07/17/2023,"APPLE.COM/BILL 866-712-7753 CA               07/15",-11.00,DEBIT_CARD,82.49,,
CREDIT,07/17/2023,"Zelle payment from YOSVANY NAVARRO 17902596289",20.00,QUICKPAY_CREDIT,93.49,,
DEBIT,07/12/2023,"PATRICK NJOGU    IAT PAYPAL 1028139473082   WEB ID: 770510487C",-204.99,ACH_DEBIT,73.49,,
DEBIT,07/11/2023,"PAYPAL           INST XFER  PARKMOBILE      WEB ID: PAYPALSI77",-1.10,ACH_DEBIT,278.48,,
CREDIT,07/11/2023,"Zelle payment from LIARA GONZALEZ 17863919986",200.00,QUICKPAY_CREDIT,279.58,,
DEBIT,07/10/2023,"Zelle payment to Nani  17852060179",-97.00,QUICKPAY_DEBIT,79.58,,
CREDIT,07/10/2023,"Zelle payment from ALIUSKA VELA 17586959195",50.00,QUICKPAY_CREDIT,176.58,,
DEBIT,07/07/2023,"Zelle payment to Kiki 17832515471",-40.00,QUICKPAY_DEBIT,126.58,,
DEBIT,07/07/2023,"Payment to Chase card ending in 3492 07/07",-2000.00,LOAN_PMT,166.58,,
CREDIT,07/07/2023,"ABARCA HEALTH FL PAYROLL                    PPD ID: 6506940773",2037.44,ACH_CREDIT,2166.58,,
DEBIT,07/05/2023,"Zelle payment to Manny Panties 17808876716",-46.00,QUICKPAY_DEBIT,129.14,,
DEBIT,07/05/2023,"PATRICK NJOGU    IAT PAYPAL 1027985311935   WEB ID: 770510487C",-184.99,ACH_DEBIT,175.14,,
CREDIT,07/05/2023,"Online Transfer from SAV ...7765 transaction#: 17808884578",200.00,ACCT_XFER,360.13,,
DEBIT,07/03/2023,"PAYPAL           INST XFER  PARKMOBILE      WEB ID: PAYPALSI77",-3.35,ACH_DEBIT,160.13,,
DEBIT,07/03/2023,"ATT*BILL PAYMENT 800-288-2020 TX             07/02",-35.73,DEBIT_CARD,163.48,,
DEBIT,07/03/2023,"ATT*BILL PAYMENT 800-288-2020 TX             07/02",-90.70,DEBIT_CARD,199.21,,
DEBIT,07/03/2023,"Amazon web services aws.amazon.co WA         07/02",-29.78,DEBIT_CARD,289.91,,
DEBIT,07/03/2023,"APPLE.COM/BILL 866-712-7753 CA               07/02",-9.99,DEBIT_CARD,319.69,,
CREDIT,07/03/2023,"Zelle payment from ROSIO C FERNANDEZ VELA 17526095409",60.00,QUICKPAY_CREDIT,329.68,,
DEBIT,06/29/2023,"Amazon Digit*IL7149QK 888-802-3080 WA        06/29",-15.99,DEBIT_CARD,269.68,,
DEBIT,06/28/2023,"Online Transfer to CHK ...8871 transaction#: 17737785872 06/28",-200.00,ACCT_XFER,285.67,,
DEBIT,06/26/2023,"PATRICK NJOGU    IAT PAYPAL 1027829881443   WEB ID: 770510487C",-144.99,ACH_DEBIT,485.67,,
DEBIT,06/26/2023,"PAYPAL           INST XFER                  WEB ID: PAYPALSI77",-100.00,ACH_DEBIT,630.66,,
DEBIT,06/26/2023,"Zelle payment to Kiki 17718343418",-26.00,QUICKPAY_DEBIT,730.66,,
CREDIT,06/26/2023,"Zelle payment from LIARA GONZALEZ 17721422955",145.00,QUICKPAY_CREDIT,756.66,,
DEBIT,06/23/2023,"Payment to Chase card ending in 3492 06/23",-1500.00,LOAN_PMT,611.66,,
CREDIT,06/23/2023,"ABARCA HEALTH FL PAYROLL                    PPD ID: 6506940773",2037.46,ACH_CREDIT,2111.66,,
DEBIT,06/22/2023,"PAYPAL *GITHUB INC 402-935-7733 CA           06/21",-10.00,DEBIT_CARD,74.20,,
DEBIT,06/20/2023,"Zelle payment to Kiki 17653715552",-450.00,QUICKPAY_DEBIT,84.20,,
DEBIT,06/20/2023,"APPLE.COM/BILL 866-712-7753 CA               06/17",-11.00,DEBIT_CARD,534.20,,
DEBIT,06/12/2023,"PAYPAL           INST XFER  BLIZZARDENT     WEB ID: PAYPALSI77",-69.99,ACH_DEBIT,545.20,,
CREDIT,06/12/2023,"Zelle payment from ALIUSKA VELA 17312869971",50.00,QUICKPAY_CREDIT,615.19,,
DEBIT,06/09/2023,"Payment to Chase card ending in 3492 06/09",-1000.00,LOAN_PMT,565.19,,
DEBIT,06/09/2023,"Zelle payment to Mama  17579414147",-1000.00,QUICKPAY_DEBIT,1565.19,,
CREDIT,06/09/2023,"ABARCA HEALTH FL PAYROLL                    PPD ID: 6506940773",2037.45,ACH_CREDIT,2565.19,,
DEBIT,06/08/2023,"Amazon.com*PC5UT8IC3 Amzn.com/bill WA        06/07",-12.70,DEBIT_CARD,527.74,,
DEBIT,06/08/2023,"AMZN Mktp US Amzn.com/bill WA                06/07",54.99,DEBIT_CARD,540.44,,
DEBIT,06/06/2023,"Amazon web services aws.amazon.co WA         06/06",-5.00,DEBIT_CARD,485.45,,
DEBIT,06/06/2023,"APPLE.COM/BILL 866-712-7753 CA               06/06",-7.99,DEBIT_CARD,490.45,,
DEBIT,06/05/2023,"Amazon web services aws.amazon.co WA         06/03",-32.37,DEBIT_CARD,498.44,,
DEBIT,06/05/2023,"CASH APP*LESTER MOL 8774174551 CA            06/02",-123.00,DEBIT_CARD,530.81,,
DEBIT,06/05/2023,"ATT*BILL PAYMENT 800-288-2020 TX             06/02",-549.48,DEBIT_CARD,653.81,,
CREDIT,06/05/2023,"Zelle payment from ARAMIS GONZALEZ WFCT0R9WWGP2",50.00,PARTNERFI_TO_CHASE,1203.29,,
CREDIT,06/05/2023,"Zelle payment from ROSIO C FERNANDEZ VELA 17252137441",60.00,QUICKPAY_CREDIT,1153.29,,
CREDIT,06/05/2023,"Zelle payment from ROSIO C FERNANDEZ VELA 17544276177",100.00,QUICKPAY_CREDIT,1093.29,,
DEBIT,06/02/2023,"APPLE.COM/BILL 866-712-7753 CA               06/02",-9.99,DEBIT_CARD,993.29,,
DEBIT,06/01/2023,"ATT*BILL PAYMENT 800-288-2020 TX             05/31",-90.70,DEBIT_CARD,1003.28,,
DEBIT,05/30/2023,"Payment to Chase card ending in 3492 05/30",-1000.00,LOAN_PMT,1093.98,,
DEBIT,05/30/2023,"Zelle payment to Manny Panties 17472369294",-375.00,QUICKPAY_DEBIT,2093.98,,
DEBIT,05/30/2023,"Amazon Digit*PG0XZ95P 888-802-3080 WA        05/29",-15.99,DEBIT_CARD,2468.98,,
CREDIT,05/30/2023,"Zelle payment from MANNY ALFONSO 17463857777",80.00,QUICKPAY_CREDIT,2484.97,,
DEBIT,05/26/2023,"PAYPAL           INST XFER                  WEB ID: PAYPALSI77",-100.00,ACH_DEBIT,2404.97,,
